latitude,longitude,timestamp,unit,trip_id
38.99214,-95.24004,2023-12-08 20:07:27+00:00,1000,3
38.99214,-95.24004,2023-12-08 20:07:27+00:00,1000,3
38.99165,-95.24346,2023-12-08 20:07:45+00:00,1000,3
38.9914,-95.24522,2023-12-08 20:07:54+00:00,1000,3
38.99108,-95.24708,2023-12-08 20:08:04+00:00,1000,3
38.9909,-95.24807,2023-12-08 20:08:09+00:00,1000,3
38.9906,-95.25018,2023-12-08 20:08:20+00:00,1000,3
38.9906,-95.25018,2023-12-08 20:08:20+00:00,1000,3
38.9906,-95.25018,2023-12-08 20:08:20+00:00,1000,3
38.9905,-95.25087,2023-12-08 20:08:24+00:00,1000,3
38.99045,-95.25123,2023-12-08 20:08:26+00:00,1000,3
38.99029,-95.25247,2023-12-08 20:08:32+00:00,1000,3
38.99029,-95.25247,2023-12-08 20:08:32+00:00,1000,3
38.9902,-95.25302,2023-12-08 20:08:35+00:00,1000,3
38.99014,-95.25345,2023-12-08 20:08:37+00:00,1000,3
38.99009,-95.25386,2023-12-08 20:08:40+00:00,1000,3
38.99002,-95.25446,2023-12-08 20:08:43+00:00,1000,3
38.98996,-95.25527,2023-12-08 20:08:47+00:00,1000,3
38.98993,-95.25595,2023-12-08 20:08:50+00:00,1000,3
38.98992,-95.2563,2023-12-08 20:08:52+00:00,1000,3
38.98992,-95.2563,2023-12-08 20:08:52+00:00,1000,3
38.98992,-95.2563,2023-12-08 20:08:52+00:00,1000,3
38.98991,-95.25658,2023-12-08 20:08:54+00:00,1000,3
38.98992,-95.25718,2023-12-08 20:08:57+00:00,1000,3
38.98993,-95.25781,2023-12-08 20:09:00+00:00,1000,3
38.98999,-95.25862,2023-12-08 20:09:04+00:00,1000,3
38.99006,-95.25941,2023-12-08 20:09:08+00:00,1000,3
38.99025,-95.26074,2023-12-08 20:09:15+00:00,1000,3
38.9903,-95.26115,2023-12-08 20:09:18+00:00,1000,3
38.99044,-95.26185,2023-12-08 20:09:21+00:00,1000,3
38.99052,-95.26226,2023-12-08 20:09:24+00:00,1000,3
38.99052,-95.26226,2023-12-08 20:09:24+00:00,1000,3
38.99052,-95.26226,2023-12-08 20:09:24+00:00,1000,3
38.99056,-95.26247,2023-12-08 20:09:25+00:00,1000,3
38.99075,-95.26322,2023-12-08 20:09:29+00:00,1000,3
38.99092,-95.26387,2023-12-08 20:09:32+00:00,1000,3
38.99129,-95.2651,2023-12-08 20:09:39+00:00,1000,3
38.99209,-95.26778,2023-12-08 20:09:54+00:00,1000,3
38.99272,-95.26993,2023-12-08 20:10:06+00:00,1000,3
38.99327,-95.2718,2023-12-08 20:10:16+00:00,1000,3
38.99327,-95.2718,2023-12-08 20:10:16+00:00,1000,3
38.99327,-95.2718,2023-12-08 20:10:16+00:00,1000,3
38.99502,-95.27766,2023-12-08 20:10:49+00:00,1000,3
38.99538,-95.27894,2023-12-08 20:10:56+00:00,1000,3
38.99558,-95.2796,2023-12-08 20:11:00+00:00,1000,3
38.99604,-95.28113,2023-12-08 20:11:08+00:00,1000,3
38.99604,-95.28113,2023-12-08 20:11:08+00:00,1000,3
38.99604,-95.28113,2023-12-08 20:11:08+00:00,1000,3
38.99616,-95.28154,2023-12-08 20:11:10+00:00,1000,3
38.99658,-95.28297,2023-12-08 20:11:18+00:00,1000,3
38.99658,-95.28297,2023-12-08 20:11:18+00:00,1000,3
38.99658,-95.28297,2023-12-08 20:11:18+00:00,1000,3
38.99669,-95.28334,2023-12-08 20:11:20+00:00,1000,3
38.99701,-95.28474,2023-12-08 20:11:28+00:00,1000,3
38.99725,-95.28602,2023-12-08 20:11:35+00:00,1000,3
38.99742,-95.28714,2023-12-08 20:11:41+00:00,1000,3
38.99756,-95.28828,2023-12-08 20:11:47+00:00,1000,3
38.9976,-95.28873,2023-12-08 20:11:49+00:00,1000,3
38.9976,-95.28873,2023-12-08 20:11:49+00:00,1000,3
38.9976,-95.28873,2023-12-08 20:11:49+00:00,1000,3
38.99765,-95.28939,2023-12-08 20:11:52+00:00,1000,3
38.9977,-95.29029,2023-12-08 20:11:57+00:00,1000,3
38.99772,-95.29157,2023-12-08 20:12:04+00:00,1000,3
38.99777,-95.2954,2023-12-08 20:12:24+00:00,1000,3
38.99777,-95.2954,2023-12-08 20:12:24+00:00,1000,3
38.99777,-95.2954,2023-12-08 20:12:24+00:00,1000,3
38.99779,-95.29701,2023-12-08 20:12:32+00:00,1000,3
38.99779,-95.29743,2023-12-08 20:12:34+00:00,1000,3
38.99786,-95.30331,2023-12-08 20:13:05+00:00,1000,3
38.99786,-95.30331,2023-12-08 20:13:05+00:00,1000,3
38.99786,-95.30331,2023-12-08 20:13:05+00:00,1000,3
38.99789,-95.30528,2023-12-08 20:13:15+00:00,1000,3
38.99789,-95.30528,2023-12-08 20:13:15+00:00,1000,3
38.99789,-95.30528,2023-12-08 20:13:15+00:00,1000,3
38.99799,-95.31339,2023-12-08 20:13:57+00:00,1000,3
